Brand,Model,Rank,Benchmark,Cost
Nvidia,RTX 3090-Ti,1,264
Nvidia,RTX 3090,2,236
Nvidia,RTX 3080-Ti,3,233
Nvidia,RTX 3080,4,209
AMD,RX 6900-XT,6,196
Nvidia,Titan RTX,7,189
Nvidia,NVidia Titan RTX 24GB,7,189
Nvidia,RTX 2080-Ti,10,174
Nvidia,RTX 3070-Ti,11,170
AMD,RX 6800-XT,12,164
Nvidia,Titan V,13,163
Nvidia,RTX 3070,14,155
Nvidia,Titan Xp,15,144
Nvidia,RTX 2080S (Super),17,138
AMD,RX 6800,18,137
Nvidia,GTX 1080-Ti,19,136
Nvidia,Gigabyte GTX 1080 Ti 11GB Founders Edition,19,136
Nvidia,MSI GTX 1080 Ti 11GB Founders Edition,19,136
Nvidia,Zotac GTX 1080 Ti 11GB Founders Edition,19,136
Nvidia,Titan X Pascal,21,133
Nvidia,NVidia Titan X Pascal 12GB,21,133
Nvidia,RTX 3060-Ti,23,133
Nvidia,RTX 2080,24,129
AMD,RX 6700-XT,26,121
Nvidia,RTX 2070S (Super),29,117
AMD,Radeon-VII,32,110
AMD,Sapphire Radeon VII 16GB,32,110
AMD,Asus Radeon VII 16GB,32,110
Nvidia,GTX 1080,35,106
Nvidia,MSI GTX 1080 8GB Founders Edition,35,106
Nvidia,Zotac GTX 1080 8GB Founders Edition,35,106
Nvidia,Gigabyte GTX 1080 8GB Founders Edition,35,106
AMD,RX 5700-XT,36,105
AMD,PowerColor RX 5700 XT 8GB,36,105
AMD,Sapphire RX 5700 XT 8GB,36,105
AMD,XFX RX 5700 XT 8GB,36,105
AMD,MSI RX 5700 XT 8GB Gaming,36,105
AMD,Asus RX 5700 XT 8GB,36,105
AMD,Gigabyte RX 5700 XT 8GB,36,105
Nvidia,RTX 2070,37,105
AMD,RX 6600-XT,39,102
AMD,Gigabyte RX Vega 64 8GB LC,40,100
AMD,Sapphire RX Vega 64 8GB LC,40,100
AMD,XFX RX Vega 64 8GB LC,40,100
Nvidia,RTX 2060S (Super),41,99
Nvidia,RTX 3060,42,97.9
Nvidia,GTX 1070-Ti,43,96.3
AMD,RX Vega-64,49,92.3
AMD,Gigabyte RX Vega 64 8GB,49,92.3
AMD,XFX RX Vega 64 8GB,49,92.3
AMD,Sapphire RX Vega 64 8GB,49,92.3
AMD,Vega Frontier Edition,50,91.3
AMD,Radeon Vega Frontier Edition Air,50,91.3
AMD,RX 5700,53,88.9
AMD,PowerColor RX 5700 8GB,53,88.9
AMD,Sapphire RX 5700 8GB,53,88.9
AMD,XFX RX 5700 8GB,53,88.9
AMD,MSI RX 5700 8GB,53,88.9
Nvidia,RTX 2060,54,88.7
AMD,RX 5600-XT,55,88.5
AMD,RX Vega-56,58,82.2
AMD,Sapphire RX Vega 56 8GB,58,82.2
AMD,XFX RX Vega 56 8GB,58,82.2
AMD,Gigabyte RX Vega 56 8GB,58,82.2
Nvidia,GTX 1070,59,80.5
Nvidia,ZOTAC GTX 1070 8GB Founders Edition ,59,80.5
Nvidia,PNY GTX 1070 8GB Founders Edition,59,80.5
Nvidia,Gigabyte GTX 1070 8GB Founders Edition,59,80.5
Nvidia,MSI GTX 1070 Founders Edition,59,80.5
AMD,RX 6600,64,77.4
Nvidia,GTX Titan X,65,77.1
Nvidia,GTX 1660-Ti,66,76.4
Nvidia,RTX 3050,69,72.8
Nvidia,GTX 1660S (Super),71,70.9
Nvidia,GTX 1660,74,68.8
AMD,R9 Fury-X,77,65.4
AMD,XFX R9 FURY X 4GB,77,65.4
AMD,Sapphire R9 Fury X 4GB ,77,65.4
AMD,Gigabyte R9 Fury X 4GB,77,65.4
AMD,R9 Fury,79,63
Nvidia,GTX 980,80,60.8
AMD,RX 590,83,59.5
Nvidia,GTX 1060-6GB,87,57.2
PNY,PNY GTX 1060 6GB,87,57.2
PNY,PNY GTX 1060 6GB OC,87,57.2
AMD,RX 6500-XT,88,56.9
AMD,RX 5500-XT,89,56.2
Nvidia,GTX 780-Ti,90,56
AMD,RX 5500,91,55.8
AMD,R9 Nano,92,55.3
AMD,R9 390X,93,55.1
AMD,RX 580,95,54.6
Nvidia,GTX 1060-3GB,96,53
AMD,R9 290X,97,52.6
Nvidia,GTX Titan Black,98,52.5
Nvidia,GTX 970,99,50.5
AMD,R9 390,101,50
AMD,RX 480,102,48.1
AMD,Sapphire RX 480 8GB,102,48.1
AMD,Sapphire RX 480 4GB,102,48.1
AMD,MSI RX 480 8GB,102,48.1
Nvidia,GTX 780,103,47.5
AMD,R9 290,104,47.4
Nvidia,GTX Titan,105,47.1
Nvidia,GTX 780 4GB,106,46.9
AMD,RX 570,107,46.7
Nvidia,GTX 1650,111,43.2
AMD,Radeon Pro 5500M,112,42.6
AMD,RX 470,115,41.2
